Q5MIZ7 In Degree = 31 

Tail	Head	Edge_weight
P62829	Q5MIZ7	0.201461
Q99689	Q5MIZ7	0.75
O14745	Q5MIZ7	0.201461
P27348	Q5MIZ7	0.201461
P30084	Q5MIZ7	0.201461
Q86VU5	Q5MIZ7	0.311133
Q14103	Q5MIZ7	0.311133
P04629	Q5MIZ7	0.311133
Q96LJ8	Q5MIZ7	0.311133
Q00839	Q5MIZ7	0.201461
P35557	Q5MIZ7	0.201461
P60510	Q5MIZ7	0.75
Q13263	Q5MIZ7	0.311133
P07384	Q5MIZ7	0.201461
Q9H3S7	Q5MIZ7	0.201461
Q53H82	Q5MIZ7	0.201461
Q9BZF1	Q5MIZ7	0.201461
O75439	Q5MIZ7	0.311133
O60610	Q5MIZ7	0.201461
P62714	Q5MIZ7	0.311133
Q07866	Q5MIZ7	0.201461
P21980	Q5MIZ7	0.201461
Q9NR45	Q5MIZ7	0.201461
Q96KP4	Q5MIZ7	0.201461
P46379	Q5MIZ7	0.311133
P51648	Q5MIZ7	0.311133
Q9NY27	Q5MIZ7	0.75
Q9H0B6	Q5MIZ7	0.201461
Q8N490	Q5MIZ7	0.311133
P33176	Q5MIZ7	0.201461
Q16719	Q5MIZ7	0.201461
